MATERIAL NUMBER,Description,MT,MT+PVN
0001109359,STARTER,192.68,233.15
0001109361,STARTER,630.90,763.39
0001109363,STARTER,297.54,360.02
0001109364,STARTER,298.19,360.81
0001109369,STARTER,800.28,968.34
0001109370,STARTER,354.35,428.77
0001109371,STARTER,215.49,260.74
0001109377,STARTER,849.98,1028.48
0001109387,STARTER,646.19,781.89
0001109389,STARTER,717.32,867.96
0001109391,STARTER,246.10,297.78
0001109397,STARTER,267.85,324.10
0001109401,STARTER,315.86,382.19
0001109405,STARTER,291.40,352.59
0001109413,STARTER,233.46,282.48
0001109421,STARTER,233.11,282.07
0001110004,STARTER,360.77,436.53
0001110009,STARTER,276.62,334.72
0001110017,STARTER,228.65,276.67
0001110025,STARTER,232.36,281.16
0001110041,STARTER,182.58,220.92
0001110047,STARTER,365.14,441.82
0001110054,STARTER,262.71,317.88
0001110071,STARTER,323.56,391.50
0001110072,STARTER,216.54,262.01
0001110073,STARTER,396.63,479.92
0001110081,STARTER,785.33,950.25
0001110083,STARTER,515.97,624.33
0001110100,STARTER,222.26,268.94
0001110104,STARTER,181.82,220.00
0001110106,STARTER,216.34,261.77
0001110108,STARTER,356.75,431.67
0001110110,STARTER,191.54,231.76
0001110113,STARTER,219.39,265.46
0001110115,STARTER,392.43,474.85
0001110125,STARTER,250.68,303.32
0001110130,STARTER,354.35,428.77
0001110132,STARTER,190.21,230.16
0001110133,STARTER,230.46,278.85
0001110136,STARTER,249.01,301.30
0001110138,STARTER,238.67,288.79
0001111002,STARTER,986.31,1193.43
0001111003,STARTER,1148.07,1389.16
0001111008,STARTER,1969.15,2382.67
0001112025,STARTER,387.27,468.60
0001112032,STARTER,331.95,401.66
0001112033,STARTER,355.22,429.82
0001112035,STARTER,294.50,356.35
0001112038,STARTER,199.75,241.70
0001112044,STARTER,333.09,403.04
0001113006,STARTER,303.91,367.74
0001113007,STARTER,297.43,359.89
0001115002,STARTER,163.12,197.38
0001115005,STARTER,156.44,189.29
0001115006,STARTER,166.74,201.75
0001115007,STARTER,146.90,177.75
0001115011,STARTER,511.28,618.65
0001115016,STARTER,259.78,314.34
0001115020,STARTER,337.60,408.49
0001115022,STARTER,266.97,323.03
0001115035,STARTER,259.65,314.18
0001115042,STARTER,171.19,207.15
0001115045,STARTER,168.80,204.25
0001115047,STARTER,262.17,317.23
0001115049,STARTER,267.67,323.88
0001115051,STARTER,229.31,277.47
0001115053,STARTER,220.74,267.09
0001115068,STARTER,240.00,290.39
0001115070,STARTER,236.56,286.24
0001115072,STARTER,229.31,277.47
0001115074,STARTER,274.15,331.72
0001115078,STARTER,256.79,310.72
0001115082,STARTER,221.30,267.77
0001115088,STARTER,239.90,290.28
0001115092,STARTER,239.90,290.28
0001115100,STARTER,212.21,256.77
0001115108,STARTER,211.91,256.41
0001115110,STARTER,183.80,222.40
0001120400,STARTER,130.69,158.14
0001120406,STARTER,233.33,282.33
0001120408,STARTER,170.17,205.91
0001120410,STARTER,260.97,315.78
0001121003,STARTER,272.05,329.18
0001121010,STARTER,149.77,181.22
0001121016,STARTER,155.29,187.90
0001121022,STARTER,193.45,234.07
0001121024,STARTER,247.44,299.41
0001121026,STARTER,141.37,171.06
0001121028,STARTER,153.77,186.06
0001121030,STARTER,160.63,194.37
0001121032,STARTER,293.29,354.88
0001121402,STARTER,131.83,159.52
0001121408,STARTER,220.54,266.85
0001121412,STARTER,185.82,224.84
0001121435,STARTER,169.37,204.94
0001121443,STARTER,549.48,664.88
0001122201,STARTER,1374.89,1663.61
0001122402,STARTER,270.55,327.36
0001123001,STARTER,202.31,244.80
0001123002,STARTER,201.66,244.01
0001123012,STARTER,142.14,171.99
0001123014,STARTER,186.76,225.98
0001123016,STARTER,186.76,225.98
0001123018,STARTER,248.59,300.79
0001123020,STARTER,252.79,305.87
0001123026,STARTER,302.88,366.48
0001123028,STARTER,204.51,247.46
0001123036,STARTER,216.54,262.01
0001123038,STARTER,308.87,373.73
0001123044,STARTER,235.80,285.32
0001124013,STARTER,300.10,363.12
0001124015,STARTER,310.58,375.80
0001124020,STARTER,272.63,329.88
0001124022,STARTER,198.61,240.31
0001124026,STARTER,246.62,298.41
0001125025,STARTER,337.60,408.49
0001125031,STARTER,188.69,228.31
0001125035,STARTER,177.62,214.92
0001125039,STARTER,377.11,456.30
0001125042,STARTER,159.31,192.76
0001125046,STARTER,187.34,226.68
0001125048,STARTER,178.38,215.84
0001125051,STARTER,203.51,246.25
0001125053,STARTER,205.92,249.16
0001125055,STARTER,199.93,241.92
0001125057,STARTER,275.82,333.74
0001125059,STARTER,266.97,323.03
0001125511,STARTER,196.12,237.30
0001125517,STARTER,175.33,212.15
0001125519,STARTER,281.97,341.18
0001125521,STARTER,270.72,327.57
0001125600,STARTER,241.82,292.60
0001125605,STARTER,170.17,205.91
0001125607,STARTER,685.97,830.02
0001125609,STARTER,226.26,273.77
0001137001,STARTER,206.80,250.23
0001137005,STARTER,196.81,238.15
0001138001,STARTER,217.68,263.40
0001138005,STARTER,233.51,282.55
0001138009,STARTER,522.35,632.05
0001138011,STARTER,205.82,249.04
0001138013,STARTER,701.51,848.83
0001138017,STARTER,253.35,306.55
0001138019,STARTER,275.76,333.66
0001138029,STARTER,216.54,262.01
0001138039,STARTER,701.51,848.83
0001138047,STARTER,653.28,790.47
0001138055,STARTER,235.42,284.85
0001138057,STARTER,219.67,265.80
0001138067,STARTER,246.57,298.34
0001139005,STARTER,701.51,848.83
0001139015,STARTER,316.12,382.51
0001139019,STARTER,697.04,843.42
0001139023,STARTER,239.90,290.28
0001139029,STARTER,252.36,305.36
0001139037,STARTER,701.51,848.83
0001139041,STARTER,274.34,331.95
0001139045,STARTER,262.31,317.40
0001139047,STARTER,750.74,908.39
0001139065,STARTER,246.57,298.34
0001139073,STARTER,228.63,276.64
0001139075,STARTER,228.63,276.64
0001142001,STARTER,701.51,848.83
0001142003,STARTER,280.64,339.57
0001142005,STARTER,697.04,843.42
0001145001,STARTER,299.90,362.88
0001148003,STARTER,701.51,848.83
0001148009,STARTER,822.63,995.39
0001148015,STARTER,276.55,334.62
0001152410,STARTER,268.98,325.47
0001153007,STARTER,261.26,316.13
