MATERIAL NUMBER,Description,MT,MT+PVN
0431307031,NOZZLE-HOLDER ASSEMBLY,1156.10,1398.88
0431307032,NOZZLE-HOLDER ASSEMBLY,1502.92,1818.54
0431307033,NOZZLE-HOLDER ASSEMBLY,1318.08,1594.88
0431307034,NOZZLE-HOLDER ASSEMBLY,1969.45,2383.03
0431307035,NOZZLE-HOLDER ASSEMBLY,1156.10,1398.88
0431308004,NOZZLE-HOLDER ASSEMBLY,1157.55,1400.63
0431308022,NOZZLE-HOLDER ASSEMBLY,1399.22,1693.05
0431308024,NOZZLE-HOLDER ASSEMBLY,1157.55,1400.63
0431315005,NOZZLE-HOLDER ASSEMBLY,1392.21,1684.57
0431315008,NOZZLE-HOLDER ASSEMBLY,1317.13,1593.73
0431316001,NOZZLE-HOLDER ASSEMBLY,1575.72,1906.62
0431317003,NOZZLE-HOLDER ASSEMBLY,1629.98,1972.28
0431318001,NOZZLE-HOLDER ASSEMBLY,2134.64,2582.92
0431319005,NOZZLE-HOLDER ASSEMBLY,1688.89,2043.56
0431326007,NOZZLE-HOLDER ASSEMBLY,2044.31,2473.61
0431327002,NOZZLE-HOLDER ASSEMBLY,1763.66,2134.03
0431327005,NOZZLE-HOLDER ASSEMBLY,2701.88,3269.27
0431327007,NOZZLE-HOLDER ASSEMBLY,2131.41,2579.01
0431327008,NOZZLE-HOLDER ASSEMBLY,1754.11,2122.47
0431328004,NOZZLE-HOLDER ASSEMBLY,1647.61,1993.61
0431328011,NOZZLE-HOLDER ASSEMBLY,2088.62,2527.23
0431328012,NOZZLE-HOLDER ASSEMBLY,2463.87,2981.28
0431328013,NOZZLE-HOLDER ASSEMBLY,1831.09,2215.62
0431328014,NOZZLE-HOLDER ASSEMBLY,1763.66,2134.03
0431329002,NOZZLE-HOLDER ASSEMBLY,1744.53,2110.88
0431329003,NOZZLE-HOLDER ASSEMBLY,1659.18,2007.61
0431406007,NOZZLE-HOLDER ASSEMBLY,2039.12,2467.33
0431415001,NOZZLE-HOLDER ASSEMBLY,1943.74,2351.92
0431529001,NOZZLE-HOLDER ASSEMBLY,2212.97,2677.70
0432117001,NOZZLE AND HOLDER ASSY,165.41,200.15
0432117002,NOZZLE AND HOLDER ASSY,152.06,183.99
0432131613,NOZZLE AND HOLDER ASSY,270.27,327.02
0432131614,NOZZLE AND HOLDER ASSY,225.70,273.09
0432131615,NOZZLE AND HOLDER ASSY,317.94,384.71
0432131616,NOZZLE AND HOLDER ASSY,294.59,356.45
0432131618,NOZZLE AND HOLDER ASSY,313.89,379.81
0432131619,NOZZLE AND HOLDER ASSY,293.13,354.69
0432131620,NOZZLE AND HOLDER ASSY,192.50,232.93
0432131622,NOZZLE AND HOLDER ASSY,192.50,232.93
0432131623,NOZZLE AND HOLDER ASSY,246.42,298.17
0432131624,NOZZLE AND HOLDER ASSY,408.42,494.19
0432131626,NOZZLE AND HOLDER ASSY,256.10,309.88
0432131628,NOZZLE AND HOLDER ASSY,249.50,301.90
0432131629,NOZZLE AND HOLDER ASSY,359.73,435.27
0432131631,NOZZLE AND HOLDER ASSY,358.48,433.76
0432131632,NOZZLE AND HOLDER ASSY,359.73,435.27
0432131633,NOZZLE AND HOLDER ASSY,168.85,204.30
0432131634,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131635,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131636,NOZZLE AND HOLDER ASSY,280.93,339.93
0432131637,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131638,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131639,NOZZLE AND HOLDER ASSY,514.08,622.04
0432131642,NOZZLE AND HOLDER ASSY,299.06,361.87
0432131644,NOZZLE AND HOLDER ASSY,314.16,380.13
0432131645,NOZZLE AND HOLDER ASSY,272.55,329.78
0432131646,NOZZLE AND HOLDER ASSY,238.99,289.17
0432131648,NOZZLE AND HOLDER ASSY,273.76,331.25
0432131649,NOZZLE AND HOLDER ASSY,268.31,324.66
0432131652,NOZZLE AND HOLDER ASSY,349.30,422.65
0432131658,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131659,NOZZLE AND HOLDER ASSY,160.45,194.15
0432131666,NOZZLE AND HOLDER ASSY,247.84,299.88
0432131667,NOZZLE AND HOLDER ASSY,234.65,283.93
0432131668,NOZZLE AND HOLDER ASSY,299.06,361.87
0432131669,NOZZLE AND HOLDER ASSY,247.84,299.88
0432131670,NOZZLE AND HOLDER ASSY,248.60,300.81
0432131677,NOZZLE AND HOLDER ASSY,260.04,314.64
0432131682,NOZZLE AND HOLDER ASSY,280.93,339.93
0432131683,NOZZLE AND HOLDER ASSY,472.93,572.25
0432131684,NOZZLE AND HOLDER ASSY,311.41,376.81
0432131686,NOZZLE AND HOLDER ASSY,253.17,306.33
0432131687,NOZZLE AND HOLDER ASSY,263.73,319.12
0432131688,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131692,NOZZLE AND HOLDER ASSY,319.15,386.17
0432131694,NOZZLE AND HOLDER ASSY,267.76,323.99
0432131695,NOZZLE AND HOLDER ASSY,247.74,299.76
0432131696,NOZZLE AND HOLDER ASSY,228.55,276.54
0432131697,NOZZLE AND HOLDER ASSY,305.04,369.10
0432131700,NOZZLE AND HOLDER ASSY,263.73,319.12
0432131702,NOZZLE AND HOLDER ASSY,271.43,328.43
0432131703,NOZZLE AND HOLDER ASSY,82.61,99.96
0432131706,NOZZLE AND HOLDER ASSY,402.92,487.53
0432131707,NOZZLE AND HOLDER ASSY,198.41,240.07
0432131709,NOZZLE AND HOLDER ASSY,244.94,296.38
0432131710,NOZZLE AND HOLDER ASSY,247.74,299.76
0432131712,NOZZLE AND HOLDER ASSY,328.72,397.75
0432131713,NOZZLE AND HOLDER ASSY,391.19,473.35
0432131714,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131715,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131720,NOZZLE AND HOLDER ASSY,299.06,361.87
0432131726,NOZZLE AND HOLDER ASSY,240.20,290.64
0432131728,NOZZLE AND HOLDER ASSY,268.05,324.34
0432131729,NOZZLE AND HOLDER ASSY,486.86,589.10
0432131730,NOZZLE AND HOLDER ASSY,505.37,611.50
0432131731,NOZZLE AND HOLDER ASSY,452.34,547.33
0432131732,NOZZLE AND HOLDER ASSY,238.26,288.29
0432131733,NOZZLE AND HOLDER ASSY,357.33,432.37
0432131734,NOZZLE AND HOLDER ASSY,271.37,328.36
0432131740,Smidzin?t?js,283.39,342.90
0432131741,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131742,NOZZLE AND HOLDER ASSY,239.80,290.16
0432131743,NOZZLE AND HOLDER ASSY,259.30,313.75
0432131744,NOZZLE AND HOLDER ASSY,331.54,401.17
0432131746,NOZZLE AND HOLDER ASSY,264.07,319.53
0432131747,NOZZLE AND HOLDER ASSY,249.52,301.92
0432131748,NOZZLE AND HOLDER ASSY,284.76,344.56
0432131749,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131751,NOZZLE AND HOLDER ASSY,269.35,325.91
0432131752,NOZZLE AND HOLDER ASSY,241.56,292.28
0432131753,NOZZLE AND HOLDER ASSY,243.74,294.92
0432131758,NOZZLE AND HOLDER ASSY,264.74,320.33
0432131760,NOZZLE AND HOLDER ASSY,85.09,102.95
0432131766,NOZZLE AND HOLDER ASSY,311.36,376.75
0432131767,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131771,NOZZLE AND HOLDER ASSY,293.13,354.69
0432131772,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131773,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131779,NOZZLE AND HOLDER ASSY,285.16,345.04
0432131780,NOZZLE AND HOLDER ASSY,515.29,623.51
0432131781,NOZZLE AND HOLDER ASSY,211.76,256.23
0432131783,NOZZLE AND HOLDER ASSY,243.70,294.88
0432131784,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131788,NOZZLE AND HOLDER ASSY,248.60,300.81
0432131789,NOZZLE AND HOLDER ASSY,244.67,296.05
0432131793,NOZZLE AND HOLDER ASSY,269.76,326.41
0432131794,NOZZLE AND HOLDER ASSY,270.69,327.54
0432131795,NOZZLE AND HOLDER ASSY,247.84,299.88
0432131798,NOZZLE AND HOLDER ASSY,269.76,326.41
0432131802,NOZZLE AND HOLDER ASSY,222.06,268.70
0432131803,NOZZLE AND HOLDER ASSY,589.54,713.34
0432131804,NOZZLE AND HOLDER ASSY,483.43,584.94
0432131805,NOZZLE AND HOLDER ASSY,310.20,375.34
0432131807,NOZZLE AND HOLDER ASSY,395.28,478.29
0432131809,Smidzin?t?js,570.07,689.78
0432131812,NOZZLE AND HOLDER ASSY,239.55,289.86
0432131813,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131814,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131820,NOZZLE AND HOLDER ASSY,286.50,346.67
0432131823,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131824,NOZZLE AND HOLDER ASSY,246.45,298.20
0432131825,NOZZLE AND HOLDER ASSY,247.35,299.29
0432131831,NOZZLE AND HOLDER ASSY,252.58,305.62
0432131835,NOZZLE AND HOLDER ASSY,263.73,319.12
0432131837,NOZZLE AND HOLDER ASSY,250.76,303.42
0432131839,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131840,NOZZLE AND HOLDER ASSY,246.40,298.14
0432131841,NOZZLE AND HOLDER ASSY,249.96,302.45
0432131846,NOZZLE AND HOLDER ASSY,242.30,293.18
0432131849,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131850,NOZZLE AND HOLDER ASSY,268.50,324.88
0432131852,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131853,NOZZLE AND HOLDER ASSY,247.84,299.88
0432131857,NOZZLE AND HOLDER ASSY,250.12,302.64
0432131866,NOZZLE AND HOLDER ASSY,83.00,100.43
0432131867,NOZZLE AND HOLDER ASSY,243.70,294.88
0432131871,NOZZLE AND HOLDER ASSY,243.32,294.42
0432131873,NOZZLE AND HOLDER ASSY,83.94,101.57
0432131875,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131877,NOZZLE AND HOLDER ASSY,246.07,297.74
0432131880,NOZZLE AND HOLDER ASSY,248.44,300.61
0432131883,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133761,NOZZLE AND HOLDER ASSY,305.04,369.10
0432133763,NOZZLE AND HOLDER ASSY,246.86,298.70
0432133764,NOZZLE AND HOLDER ASSY,254.29,307.70
0432133765,NOZZLE AND HOLDER ASSY,173.99,210.52
0432133766,NOZZLE AND HOLDER ASSY,282.83,342.22
0432133768,NOZZLE AND HOLDER ASSY,291.10,352.23
0432133769,NOZZLE AND HOLDER ASSY,362.71,438.88
0432133771,NOZZLE AND HOLDER ASSY,213.87,258.78
0432133772,NOZZLE AND HOLDER ASSY,308.90,373.77
0432133774,NOZZLE AND HOLDER ASSY,256.10,309.88
0432133775,NOZZLE AND HOLDER ASSY,248.44,300.61
0432133779,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133780,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133781,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133782,NOZZLE AND HOLDER ASSY,256.10,309.88
0432133783,NOZZLE AND HOLDER ASSY,355.99,430.74
0432133785,NOZZLE AND HOLDER ASSY,295.59,357.66
0432133787,NOZZLE AND HOLDER ASSY,291.79,353.07
0432133788,NOZZLE AND HOLDER ASSY,293.77,355.46
0432133790,NOZZLE AND HOLDER ASSY,231.98,280.70
0432133791,NOZZLE AND HOLDER ASSY,198.79,240.53
0432133792,NOZZLE AND HOLDER ASSY,371.94,450.05
0432133794,NOZZLE AND HOLDER ASSY,292.44,353.86
0432133797,NOZZLE AND HOLDER ASSY,319.84,387.00
0432133798,NOZZLE AND HOLDER ASSY,302.42,365.93
0432133799,NOZZLE AND HOLDER ASSY,364.76,441.36
0432133800,NOZZLE AND HOLDER ASSY,282.46,341.78
0432133801,NOZZLE AND HOLDER ASSY,296.57,358.85
0432133802,NOZZLE AND HOLDER ASSY,380.22,460.07
0432133804,NOZZLE AND HOLDER ASSY,280.06,338.87
0432133815,NOZZLE AND HOLDER ASSY,405.42,490.56
0432133817,NOZZLE AND HOLDER ASSY,291.84,353.13
0432133819,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133820,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133821,NOZZLE AND HOLDER ASSY,286.46,346.62
0432133822,NOZZLE AND HOLDER ASSY,387.47,468.84
0432133824,NOZZLE AND HOLDER ASSY,298.10,360.70
0432133827,NOZZLE AND HOLDER ASSY,269.76,326.41
0432133829,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133830,NOZZLE AND HOLDER ASSY,248.44,300.61
0432133831,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133833,NOZZLE AND HOLDER ASSY,259.45,313.94
0432133835,NOZZLE AND HOLDER ASSY,207.18,250.69
0432133837,NOZZLE AND HOLDER ASSY,263.73,319.12
0432133838,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133840,NOZZLE AND HOLDER ASSY,176.28,213.29
0432133841,NOZZLE AND HOLDER ASSY,268.61,325.02
0432133842,NOZZLE AND HOLDER ASSY,361.33,437.21
0432133843,NOZZLE AND HOLDER ASSY,239.81,290.18
0432133846,NOZZLE AND HOLDER ASSY,244.88,296.30
0432133853,NOZZLE AND HOLDER ASSY,248.44,300.61
0432133854,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133855,NOZZLE AND HOLDER ASSY,196.12,237.30
0432133860,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133862,NOZZLE AND HOLDER ASSY,243.70,294.88
0432133868,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133870,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133872,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133877,NOZZLE AND HOLDER ASSY,79.36,96.03
0432133878,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133879,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133880,NOZZLE AND HOLDER ASSY,243.70,294.88
0432133881,NOZZLE AND HOLDER ASSY,243.70,294.88
0432133884,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133887,NOZZLE AND HOLDER ASSY,246.07,297.74
0432133888,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191219,NOZZLE AND HOLDER ASSY,250.93,303.63
0432191228,NOZZLE AND HOLDER ASSY,253.50,306.74
0432191229,NOZZLE AND HOLDER ASSY,250.93,303.63
0432191231,NOZZLE AND HOLDER ASSY,268.31,324.66
0432191233,NOZZLE AND HOLDER ASSY,277.67,335.99
0432191237,NOZZLE AND HOLDER ASSY,202.80,245.39
0432191238,NOZZLE AND HOLDER ASSY,152.24,184.21
0432191240,NOZZLE AND HOLDER ASSY,258.63,312.94
0432191241,NOZZLE AND HOLDER ASSY,260.14,314.76
0432191242,NOZZLE AND HOLDER ASSY,223.14,270.00
0432191244,NOZZLE AND HOLDER ASSY,284.85,344.66
0432191247,NOZZLE AND HOLDER ASSY,277.67,335.99
0432191248,NOZZLE AND HOLDER ASSY,237.24,287.07
0432191249,NOZZLE AND HOLDER ASSY,419.28,507.32
0432191250,NOZZLE AND HOLDER ASSY,283.93,343.56
0432191251,NOZZLE AND HOLDER ASSY,283.93,343.56
0432191252,NOZZLE AND HOLDER ASSY,300.46,363.56
0432191253,NOZZLE AND HOLDER ASSY,228.91,276.98
0432191254,NOZZLE AND HOLDER ASSY,202.80,245.39
0432191256,NOZZLE AND HOLDER ASSY,289.86,350.73
0432191258,NOZZLE AND HOLDER ASSY,262.56,317.69
0432191259,NOZZLE AND HOLDER ASSY,230.14,278.46
0432191260,NOZZLE AND HOLDER ASSY,239.12,289.34
0432191261,NOZZLE AND HOLDER ASSY,104.36,126.28
0432191262,NOZZLE AND HOLDER ASSY,232.10,280.85
0432191263,NOZZLE AND HOLDER ASSY,234.06,283.21
0432191265,NOZZLE AND HOLDER ASSY,218.83,264.78
0432191267,NOZZLE AND HOLDER ASSY,248.89,301.16
0432191268,NOZZLE AND HOLDER ASSY,227.77,275.60
0432191269,NOZZLE AND HOLDER ASSY,248.89,301.16
0432191270,NOZZLE AND HOLDER ASSY,222.24,268.91
0432191273,NOZZLE AND HOLDER ASSY,277.67,335.99
0432191278,NOZZLE AND HOLDER ASSY,240.63,291.16
0432191279,NOZZLE AND HOLDER ASSY,227.83,275.67
0432191280,NOZZLE AND HOLDER ASSY,239.27,289.52
0432191282,NOZZLE AND HOLDER ASSY,228.53,276.52
0432191283,NOZZLE AND HOLDER ASSY,224.90,272.12
0432191284,NOZZLE AND HOLDER ASSY,218.13,263.93
0432191290,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191292,NOZZLE AND HOLDER ASSY,243.10,294.15
0432191293,NOZZLE AND HOLDER ASSY,317.94,384.71
0432191294,NOZZLE AND HOLDER ASSY,263.77,319.16
0432191300,NOZZLE AND HOLDER ASSY,305.04,369.10
0432191301,NOZZLE AND HOLDER ASSY,186.40,225.54
0432191302,NOZZLE AND HOLDER ASSY,180.86,218.83
0432191303,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191309,NOZZLE AND HOLDER ASSY,419.28,507.32
0432191312,NOZZLE AND HOLDER ASSY,82.23,99.50
0432191313,NOZZLE AND HOLDER ASSY,308.26,373.00
0432191319,NOZZLE AND HOLDER ASSY,202.14,244.59
0432191320,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191322,NOZZLE AND HOLDER ASSY,218.25,264.08
0432191325,NOZZLE AND HOLDER ASSY,248.44,300.61
0432191326,NOZZLE AND HOLDER ASSY,272.95,330.27
0432191327,NOZZLE AND HOLDER ASSY,263.73,319.12
0432191328,NOZZLE AND HOLDER ASSY,248.44,300.61
0432191330,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191335,NOZZLE AND HOLDER ASSY,291.79,353.07
0432191341,NOZZLE AND HOLDER ASSY,265.94,321.79
0432191343,NOZZLE AND HOLDER ASSY,291.79,353.07
0432191345,NOZZLE AND HOLDER ASSY,263.73,319.12
0432191350,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191351,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191352,NOZZLE AND HOLDER ASSY,305.04,369.10
0432191353,NOZZLE AND HOLDER ASSY,248.44,300.61
0432191354,NOZZLE AND HOLDER ASSY,305.04,369.10
0432191355,NOZZLE AND HOLDER ASSY,243.65,294.82
0432191357,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191358,NOZZLE AND HOLDER ASSY,552.97,669.09
0432191361,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191362,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191364,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191366,NOZZLE AND HOLDER ASSY,240.14,290.57
0432191367,NOZZLE AND HOLDER ASSY,294.44,356.27
0432191369,NOZZLE AND HOLDER ASSY,305.04,369.10
0432191373,NOZZLE AND HOLDER ASSY,267.76,323.99
0432191374,NOZZLE AND HOLDER ASSY,169.99,205.69
0432191375,NOZZLE AND HOLDER ASSY,169.99,205.69
0432191376,NOZZLE AND HOLDER ASSY,249.96,302.45
0432191377,NOZZLE AND HOLDER ASSY,125.37,151.69
0432191378,NOZZLE AND HOLDER ASSY,249.96,302.45
0432191379,NOZZLE AND HOLDER ASSY,259.30,313.75
0432191386,NOZZLE AND HOLDER ASSY,802.38,970.89
0432191387,NOZZLE AND HOLDER ASSY,230.39,278.77
0432191388,NOZZLE AND HOLDER ASSY,299.06,361.87
0432191390,NOZZLE AND HOLDER ASSY,230.39,278.77
0432191391,NOZZLE AND HOLDER ASSY,230.39,278.77
0432191392,NOZZLE AND HOLDER ASSY,230.39,278.77
0432191394,Smidzin?t?js,262.79,317.98
0432191396,Smidzin?t?js,262.79,317.98
0432191397,NOZZLE AND HOLDER ASSY,536.02,648.58
0432191398,NOZZLE AND HOLDER ASSY,255.43,309.08
0432191399,NOZZLE AND HOLDER ASSY,263.73,319.12
0432191401,NOZZLE AND HOLDER ASSY,445.06,538.53
0432191402,NOZZLE AND HOLDER ASSY,215.27,260.47
0432191403,NOZZLE AND HOLDER ASSY,299.06,361.87
0432191404,NOZZLE AND HOLDER ASSY,656.78,794.71
0432191409,NOZZLE AND HOLDER ASSY,1103.77,1335.56
0432191410,NOZZLE AND HOLDER ASSY,346.24,418.95
0432191414,NOZZLE AND HOLDER ASSY,397.19,480.61
0432191415,NOZZLE AND HOLDER ASSY,439.41,531.69
0432191416,NOZZLE AND HOLDER ASSY,128.96,156.05
0432191417,NOZZLE AND HOLDER ASSY,225.12,272.39
0432191418,NOZZLE AND HOLDER ASSY,451.43,546.23
0432191419,NOZZLE AND HOLDER ASSY,133.16,161.13
0432191420,NOZZLE AND HOLDER ASSY,419.28,507.32
0432191422,NOZZLE AND HOLDER ASSY,230.39,278.77
0432191425,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191426,NOZZLE AND HOLDER ASSY,259.18,313.61
0432191427,NOZZLE AND HOLDER ASSY,135.01,163.36
0432191435,NOZZLE AND HOLDER ASSY,359.73,435.27
0432191438,NOZZLE AND HOLDER ASSY,247.84,299.88
0432191440,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191447,NOZZLE AND HOLDER ASSY,1479.88,1790.65
0432191448,NOZZLE AND HOLDER ASSY,283.00,342.43
0432191452,NOZZLE AND HOLDER ASSY,313.94,379.87
0432191458,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191464,NOZZLE AND HOLDER ASSY,596.18,721.38
0432191465,NOZZLE AND HOLDER ASSY,289.03,349.73
0432191466,NOZZLE AND HOLDER ASSY,621.31,751.78
0432191467,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191469,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191470,NOZZLE AND HOLDER ASSY,277.67,335.99
0432191479,NOZZLE AND HOLDER ASSY,249.96,302.45
0432191487,NOZZLE AND HOLDER ASSY,249.96,302.45
0432191492,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191494,NOZZLE AND HOLDER ASSY,459.66,556.19
0432191495,NOZZLE AND HOLDER ASSY,250.37,302.95
0432191501,NOZZLE AND HOLDER ASSY,187.16,226.46
0432191502,NOZZLE AND HOLDER ASSY,243.70,294.88
0432191503,NOZZLE AND HOLDER ASSY,241.86,292.65
0432191504,NOZZLE AND HOLDER ASSY,241.86,292.65
0432191506,NOZZLE AND HOLDER ASSY,190.98,231.08
0432191509,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191514,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191515,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191520,NOZZLE AND HOLDER ASSY,250.81,303.48
0432191521,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191522,NOZZLE AND HOLDER ASSY,247.84,299.88
0432191527,NOZZLE AND HOLDER ASSY,283.79,343.39
0432191528,NOZZLE AND HOLDER ASSY,160.25,193.90
0432191529,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191531,NOZZLE AND HOLDER ASSY,267.76,323.99
0432191541,NOZZLE AND HOLDER ASSY,322.78,390.57
0432191542,NOZZLE AND HOLDER ASSY,243.70,294.88
0432191543,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191551,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191552,NOZZLE AND HOLDER ASSY,260.88,315.66
0432191567,NOZZLE AND HOLDER ASSY,266.77,322.79
0432191568,NOZZLE AND HOLDER ASSY,251.60,304.43
0432191570,NOZZLE AND HOLDER ASSY,154.73,187.22
0432191576,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191577,NOZZLE AND HOLDER ASSY,247.84,299.88
0432191581,NOZZLE AND HOLDER ASSY,247.84,299.88
0432191582,NOZZLE AND HOLDER ASSY,133.36,161.37
0432191583,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191584,NOZZLE AND HOLDER ASSY,232.76,281.63
0432191586,NOZZLE AND HOLDER ASSY,273.68,331.15
0432191591,NOZZLE AND HOLDER ASSY,259.30,313.75
0432191592,NOZZLE AND HOLDER ASSY,240.73,291.28
0432191593,NOZZLE AND HOLDER ASSY,293.13,354.69
0432191594,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191595,NOZZLE AND HOLDER ASSY,152.24,184.21
0432191600,NOZZLE AND HOLDER ASSY,261.84,316.83
0432191601,NOZZLE AND HOLDER ASSY,254.12,307.48
0432191604,NOZZLE AND HOLDER ASSY,178.18,215.60
0432191605,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191606,NOZZLE AND HOLDER ASSY,238.66,288.78
0432191611,NOZZLE AND HOLDER ASSY,253.18,306.35
0432191612,NOZZLE AND HOLDER ASSY,243.45,294.57
0432191614,NOZZLE AND HOLDER ASSY,279.02,337.61
0432191616,NOZZLE AND HOLDER ASSY,273.68,331.15
0432191617,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191621,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191622,NOZZLE AND HOLDER ASSY,273.68,331.15
0432191623,NOZZLE AND HOLDER ASSY,249.96,302.45
0432191624,NOZZLE AND HOLDER ASSY,249.96,302.45
0432191626,NOZZLE AND HOLDER ASSY,247.84,299.88
0432191629,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191630,NOZZLE AND HOLDER ASSY,277.42,335.68
0432191631,NOZZLE AND HOLDER ASSY,263.73,319.12
0432191632,NOZZLE AND HOLDER ASSY,264.11,319.57
0432191633,NOZZLE AND HOLDER ASSY,273.68,331.15
0432191634,NOZZLE AND HOLDER ASSY,74.02,89.57
0432191635,NOZZLE AND HOLDER ASSY,254.19,307.57
0432191636,NOZZLE AND HOLDER ASSY,238.79,288.93
0432191638,NOZZLE AND HOLDER ASSY,299.06,361.87
0432191641,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191642,NOZZLE AND HOLDER ASSY,305.04,369.10
0432191645,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191646,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191648,NOZZLE AND HOLDER ASSY,243.70,294.88
0432191650,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191654,NOZZLE AND HOLDER ASSY,311.36,376.75
0432191655,NOZZLE AND HOLDER ASSY,249.96,302.45
0432191658,NOZZLE AND HOLDER ASSY,272.10,329.24
0432191659,NOZZLE AND HOLDER ASSY,243.55,294.70
0432191662,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191666,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191667,NOZZLE AND HOLDER ASSY,318.48,385.36
0432191669,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191670,NOZZLE AND HOLDER ASSY,359.73,435.27
0432191671,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191674,NOZZLE AND HOLDER ASSY,240.39,290.87
0432191675,NOZZLE AND HOLDER ASSY,240.39,290.87
0432191677,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191680,NOZZLE AND HOLDER ASSY,263.73,319.12
0432191684,NOZZLE AND HOLDER ASSY,264.81,320.42
0432191685,NOZZLE AND HOLDER ASSY,299.06,361.87
0432191687,NOZZLE AND HOLDER ASSY,263.73,319.12
0432191688,NOZZLE AND HOLDER ASSY,229.89,278.17
0432191691,NOZZLE AND HOLDER ASSY,284.76,344.56
0432191692,NOZZLE AND HOLDER ASSY,243.70,294.88
0432191702,NOZZLE AND HOLDER ASSY,243.70,294.88
0432191703,NOZZLE AND HOLDER ASSY,243.70,294.88
0432191704,NOZZLE AND HOLDER ASSY,79.56,96.27
0432191710,NOZZLE AND HOLDER ASSY,230.08,278.39
0432191712,NOZZLE AND HOLDER ASSY,246.07,297.74
0432191715,NOZZLE AND HOLDER ASSY,246.07,297.74
